"DATUM_ID","KALENDER_ID","DATUM","WOCHENTAG","TYP","TEXT","DA_T_ERSTELLT_AM","DA_T_GEAENDERT_AM"
"20180402","A","2018-04-02","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20180501","A","2018-05-01","Dienstag","HF","Maifeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20180510","A","2018-05-10","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20180521","A","2018-05-21","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20181026","A","2018-10-26","Freitag","HF","Nationalfeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20181101","A","2018-11-01","Donnerstag","HF","Allerheiligen","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20181208","A","2018-12-08","Samstag","HF","Mariä Empfängnis","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20181224","A","2018-12-24","Montag","A","Heiliger Abend","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20181226","A","2018-12-26","Mittwoch","HF","Stefanitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20181231","A","2018-12-31","Montag","A","Silvester","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20190106","A","2019-01-06","Sonntag","HF","Heilige Drei Könige","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20190419","A","2019-04-19","Freitag","A","Karfreitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20190422","A","2019-04-22","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20190501","A","2019-05-01","Mittwoch","HF","Maifeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20190530","A","2019-05-30","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20190620","A","2019-06-20","Donnerstag","HF","Fronleichnam","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20191026","A","2019-10-26","Samstag","HF","Nationalfeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20191101","A","2019-11-01","Freitag","HF","Allerheiligen","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20191208","A","2019-12-08","Sonntag","HF","Mariä Empfängnis","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20191224","A","2019-12-24","Dienstag","A","Heiliger Abend","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20191226","A","2019-12-26","Donnerstag","HF","Stefanitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20191231","A","2019-12-31","Dienstag","A","Silvester","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20200106","A","2020-01-06","Montag","HF","Heilige Drei Könige","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20200413","A","2020-04-13","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20200501","A","2020-05-01","Freitag","HF","Staatsfeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20200521","A","2020-05-21","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
